Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,254,30728,120.97638,7.50195,40.72593,13.35326,7.62672,75.19889,14.75145,313.64567,292.65748,86.81958,8.83714
2,259,29039,112.11969,7.08960,37.85660,12.28519,7.22382,73.79466,13.67706,316.87259,298.81853,88.48278,8.35504
3,241,27666,114.79668,6.75439,38.05351,12.60341,7.38749,73.20032,13.89861,329.89627,296.56017,89.87135,8.45156
4,240,26447,110.19583,6.45679,36.49778,12.23543,7.13965,72.21500,13.52861,335.44583,304.00000,88.13216,8.12111
5,245,27990,114.24490,6.83350,37.54504,12.60020,7.20312,77.60053,13.84467,314.62041,309.94286,87.45039,8.24994
6,241,27277,113.18257,6.65942,36.94614,12.32610,7.12808,72.55282,13.62123,308.65975,307.63485,88.87429,8.15942
7,247,26565,107.55061,6.48560,35.19934,11.71426,7.09059,70.19191,12.99589,315.87045,300.92308,84.85213,8.01746
8,229,25922,113.19651,6.32861,36.09430,12.12803,7.21196,71.93903,13.41497,330.39738,310.79913,90.36058,8.17085
9,217,25010,115.25346,6.10596,36.78186,12.39027,7.16088,74.13474,13.74365,329.21659,305.53456,89.65491,8.15368
10,208,26084,125.40385,6.36816,39.51560,12.79927,7.35874,66.05814,14.33192,321.38462,296.04327,89.06665,8.46594
11,196,24707,126.05612,6.03198,40.11421,12.68484,7.39858,74.05462,14.30381,326.79592,310.77551,91.06655,8.55124
12,194,23697,122.14948,5.78540,40.00949,12.47585,7.31001,72.75958,14.11556,329.20619,305.21649,90.47946,8.49603
13,196,22575,115.17857,5.51147,38.29981,12.12593,7.02705,72.31825,13.64974,328.91837,300.60204,87.03009,8.15316
14,203,24127,118.85222,5.89038,38.19993,12.45230,7.24033,70.43178,13.88639,323.78325,307.96552,89.96867,8.38528
15,196,23076,117.73469,5.63379,37.91214,12.03986,7.13444,72.74832,13.46647,329.52551,317.50510,87.28184,8.23439
16,188,22666,120.56383,5.53369,38.67045,12.20364,7.26096,74.18279,13.69151,327.19149,335.54255,88.87149,8.37485
17,190,22453,118.17368,5.48169,37.87678,12.04581,7.27215,72.84471,13.52240,319.72632,332.11053,92.10508,8.32202
18,197,22067,112.01523,5.38745,35.74978,11.62352,6.87265,72.98218,12.90818,310.34518,327.30457,94.18768,7.81575
