Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
8,0169,2,32854,7.99328,1e-15,6894.76,1.084854546e-08,1.57659e-15
8,0169,3,33194,8.89043,1e-15,6894.76,nan,nan
8,0169,4,33008,8.03921,1e-15,6894.76,5.103881619e-07,7.41736e-14
8,0170,1,31820,8.07224,1e-15,6894.76,8.950482764e-09,1.30075e-15
8,0170,2,32712,8.22228,1e-15,6894.76,1.084641793e-08,1.57629e-15
8,0170,3,33304,8.81743,1e-15,6894.76,3.87653866e-07,5.63369e-14
8,0170,4,33160,8.01958,1e-15,6894.76,5.263426169e-07,7.64922e-14
8,0171,1,31848,7.88591,1e-15,6894.76,8.932011973e-09,1.29807e-15
8,0171,2,32770,8.10518,1e-15,6894.76,1.089627578e-08,1.58353e-15
8,0171,3,33134,8.03552,1e-15,6894.76,4.215173502e-07,6.12582e-14
8,0171,4,33290,8.40344,1e-15,6894.76,5.357375976e-07,7.78575e-14
8,0172,1,31748,8.26811,1e-15,6894.76,8.772007218e-09,1.27482e-15
8,0172,2,32900,7.99979,1e-15,6894.76,1.070307318e-08,1.55545e-15
8,0172,3,33216,8.37281,1e-15,6894.76,3.861751585e-07,5.6122e-14
8,0172,4,33144,8.09976,1e-15,6894.76,5.451431051e-07,7.92244e-14
8,0173,1,31910,7.82446,1e-15,6894.76,8.877951786e-09,1.29021e-15
8,0173,2,32740,8.2685,1e-15,6894.76,1.061571491e-08,1.54276e-15
8,0173,3,33298,7.91271,1e-15,6894.76,3.914420492e-07,5.68874e-14
8,0173,4,32980,8.26096,1e-15,6894.76,5.513516019e-07,8.01267e-14
8,0174,1,32044,7.55641,1e-15,6894.76,9.082197948e-09,1.3199e-15
8,0174,2,32752,8.00993,1e-15,6894.76,1.07172944e-08,1.55752e-15
8,0174,3,33154,8.21133,1e-15,6894.76,4.499129452e-07,6.53848e-14
8,0174,4,32846,8.49745,1e-15,6894.76,5.585131687e-07,8.11675e-14
8,0175,1,32024,7.81249,1e-15,6894.76,9.281934865e-09,1.34892e-15
8,0175,2,32658,8.34157,1e-15,6894.76,1.071496456e-08,1.55718e-15
8,0175,3,33140,8.18241,1e-15,6894.76,4.652152724e-07,6.76087e-14
8,0175,4,33118,8.30157,1e-15,6894.76,6.002315424e-07,8.72303e-14
8,0176,1,32078,8.47158,1e-15,6894.76,9.34371677e-09,1.3579e-15
8,0176,2,32704,8.14176,1e-15,6894.76,1.030960151e-08,1.49827e-15
8,0176,3,33330,8.22789,1e-15,6894.76,4.654285041e-07,6.76397e-14
8,0176,4,33088,8.18468,1e-15,6894.76,6.079244833e-07,8.83483e-14
8,0177,1,32020,7.53195,1e-15,6894.76,9.601568454e-09,1.39537e-15
8,0177,2,32658,8.31692,1e-15,6894.76,1.057308368e-08,1.53656e-15
8,0177,3,33420,8.58216,1e-15,6894.76,4.8785316e-07,7.08986e-14
8,0177,4,32986,9.04288,1e-15,6894.76,6.05825624e-07,8.80433e-14
8,0178,1,32100,8.22586,1e-15,6894.76,9.499025602e-09,1.38047e-15
8,0178,2,32740,7.69491,1e-15,6894.76,1.066290604e-08,1.54962e-15
8,0178,3,33192,8.56721,1e-15,6894.76,5.032810351e-07,7.31407e-14
8,0178,4,33252,7.91747,1e-15,6894.76,5.834722489e-07,8.47947e-14
8,0179,1,32044,8.13392,1e-15,6894.76,9.25334546e-09,1.34477e-15
8,0179,2,32838,7.78078,1e-15,6894.76,1.099266296e-08,1.59754e-15
8,0179,3,33360,8.66143,1e-15,6894.76,5.002541599e-07,7.27008e-14
8,0179,4,33190,8.11153,1e-15,6894.76,5.780983747e-07,8.40137e-14
8,0180,1,32028,7.93879,1e-15,6894.76,9.10644132e-09,1.32342e-15
8,0180,2,32794,7.96843,1e-15,6894.76,1.108350192e-08,1.61074e-15
