Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,293,17881,61.02730,4.36548,28.18359,9.62771,5.58801,74.11699,10.73904,316.26280,289.97952,94.21383,6.40429
2,304,18591,61.15461,4.53882,27.23410,9.62851,5.49305,69.74723,10.63169,320.74013,301.24342,90.43989,6.27851
3,321,19160,59.68847,4.67773,26.30554,9.29603,5.44357,74.50432,10.26481,334.96885,304.74455,96.44009,6.19875
4,328,19971,60.88720,4.87573,26.78403,9.23267,5.44323,73.23455,10.24924,331.58232,307.95732,92.77670,6.22339
5,361,23022,63.77285,5.62061,27.33982,9.43571,5.47952,75.57615,10.50833,329.11080,310.85873,93.48115,6.28957
6,392,24447,62.36480,5.96851,26.46860,8.90663,5.20348,73.56333,9.95675,318.49745,307.58418,92.79012,5.94217
7,389,25806,66.33933,6.30029,27.28214,9.05179,5.43987,69.54623,10.20523,317.94859,300.85090,91.36674,6.26254
8,376,28001,74.47074,6.83618,28.88317,9.55156,5.70788,72.14205,10.75432,316.14096,306.24734,91.16786,6.56504
9,370,29059,78.53784,7.09448,29.82390,9.91519,5.64222,73.19966,11.13404,324.64324,299.22432,97.08250,6.54035
10,394,30476,77.35025,7.44043,29.31311,9.67631,5.52886,71.66169,10.94434,327.14975,305.05330,94.84689,6.45774
11,402,31321,77.91294,7.64673,29.65557,9.46309,5.47531,71.59887,10.74911,327.73881,306.77861,94.27189,6.37865
12,401,32766,81.71072,7.99951,30.95973,9.74084,5.52857,72.18858,11.10700,335.26933,320.34165,94.76609,6.48539
13,403,34733,86.18610,8.47974,31.65504,9.84082,5.59226,71.61348,11.24793,334.37965,330.03226,97.63762,6.58333
14,394,37210,94.44162,9.08447,32.89488,10.25211,5.81706,72.05618,11.67030,324.14975,332.05584,92.16194,6.83939
15,415,35835,86.34940,8.74878,31.47660,9.79767,5.75989,73.46353,11.25063,319.13735,325.73976,94.34519,6.73331
16,432,37910,87.75463,9.25537,31.28558,9.22659,5.49931,68.65337,10.65503,319.67130,323.94907,91.96292,6.47166
17,422,40561,96.11611,9.90259,32.75999,9.74983,5.76464,70.39162,11.20823,319.08531,320.58294,93.18908,6.82323
18,408,43551,106.74265,10.63257,35.46668,10.23601,5.87096,71.46567,11.68502,321.29657,323.97549,91.97498,6.94441
19,423,46244,109.32388,11.29004,34.69014,10.31227,5.86513,70.61336,11.90536,320.53901,323.87470,89.82400,6.88342
20,425,46342,109.04000,11.31396,33.20041,10.21665,5.81246,73.22690,11.71745,324.10353,316.17647,94.28095,6.83994
21,397,48807,122.93955,11.91577,36.29973,10.95293,6.04269,69.51296,12.67550,334.39295,324.76574,89.59130,7.22905
