Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,131,143789,1097.62595,35.10474,117.40282,29.46111,16.26062,92.08563,34.50712,354.61832,351.77863,94.43259,20.15979
2,130,153403,1180.02308,37.45190,114.55679,28.53399,15.70309,86.17361,33.76553,353.00769,351.34615,89.37619,19.77964
3,121,157612,1302.57851,38.47949,120.58190,31.23981,16.79416,83.12324,36.57398,352.02479,346.01653,87.64219,20.89155
4,132,150159,1137.56818,36.65991,109.12350,28.53734,15.29549,82.04702,33.11040,334.25758,347.58333,88.86847,18.63391
5,121,155729,1287.01653,38.01978,117.01623,28.73374,15.80659,88.29121,34.38229,331.30579,333.90083,93.24417,19.68627
6,125,150665,1205.32000,36.78345,108.83605,27.35556,15.82739,86.79772,32.39833,330.81600,323.75200,92.30665,19.52846
7,127,154823,1219.07874,37.79858,110.72542,28.13103,15.55314,93.43067,33.38062,338.52756,341.16535,94.79057,19.38966
8,126,149941,1190.00794,36.60669,107.40764,28.37477,15.52236,93.40577,33.26530,324.17460,332.25397,90.58172,18.81852
9,128,137149,1071.47656,33.48364,112.68320,28.06929,14.98242,92.28580,33.53267,319.71875,326.03906,99.07942,18.57434
10,120,150233,1251.94167,36.67798,112.34232,28.81268,15.85130,92.78056,34.65880,340.59167,323.55000,97.80858,19.73053
11,118,140911,1194.16102,34.40210,117.48086,30.35825,15.80697,85.75179,36.13874,341.72034,335.85593,90.63083,19.69865
12,113,144972,1282.93805,35.39355,124.76103,31.15199,15.88161,79.34099,37.26635,351.63717,329.46903,94.45146,19.69401
13,110,138839,1262.17273,33.89624,126.18066,30.16826,15.45611,79.31853,36.22721,355.70909,320.43636,91.84066,19.29573
14,110,157236,1429.41818,38.38770,124.33707,31.09942,15.43610,82.30119,37.49563,367.43636,318.27273,86.18888,19.54156
15,94,171594,1825.46809,41.89307,147.27195,36.31552,16.89199,74.67844,42.96432,364.23404,321.44681,89.03435,21.81509
16,82,197520,2408.78049,48.22266,170.04438,38.66843,18.89049,86.01897,48.29493,359.45122,332.15854,88.87926,25.98538
17,90,194377,2159.74444,47.45532,153.31176,39.13145,18.29146,84.29067,46.65178,354.41111,327.88889,86.71385,23.52643
18,80,199490,2493.62500,48.70361,171.80879,42.33829,19.67360,81.79448,50.35280,355.63750,309.61250,94.62105,25.54855
19,68,220803,3247.10294,53.90698,198.04816,34.63524,19.57969,81.46892,45.26676,339.85294,291.88235,91.87409,27.55585
20,70,217837,3111.95714,53.18286,188.04752,36.85782,20.33944,86.35124,46.97555,352.70000,282.50000,96.16760,28.14696
21,64,213924,3342.56250,52.22754,205.71765,42.00666,21.83681,83.62251,52.54199,359.79688,296.65625,94.46450,30.26840
22,59,225781,3826.79661,55.12231,216.27004,39.32421,21.62904,78.69414,49.85920,336.38983,281.40678,88.01472,29.94977
23,59,227384,3853.96610,55.51367,221.04512,32.54568,20.74481,71.36651,41.59825,320.08475,279.89831,90.87786,25.42873
24,66,223849,3391.65152,54.65063,195.55772,39.00096,20.66168,75.20631,49.40057,318.06061,277.33333,93.93925,29.01268
25,1,406184,406184.00000,99.16602,2755.84766,719.93103,718.35986,113.75581,902.26825,1.00000,1.00000,135.00000,638.00000
26,1,403879,403879.00000,98.60327,3111.83765,719.88354,714.33038,140.24435,902.26825,1.00000,1.00000,135.00000,638.00000
27,2,403037,201518.50000,98.39771,1600.56705,360.25199,357.23558,68.66891,451.84123,319.50000,144.00000,135.00000,319.50000
28,2,405990,202995.00000,99.11865,1398.65176,360.31315,359.78776,45.96354,451.84123,311.50000,107.00000,135.00000,319.50000
29,1,406969,406969.00000,99.35767,2570.18384,719.93567,719.74347,87.57584,902.26825,1.00000,1.00000,135.00000,638.00000
30,1,406947,406947.00000,99.35229,2571.59790,719.94336,719.69690,89.17562,902.26825,1.00000,1.00000,135.00000,638.00000
31,1,407034,407034.00000,99.37354,2552.14209,719.91046,719.88367,82.88161,902.26825,1.00000,1.00000,135.00000,638.00000
32,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
33,1,407026,407026.00000,99.37158,2551.55640,719.90851,719.87146,177.73904,902.26825,1.00000,1.00000,135.00000,638.00000
34,1,407037,407037.00000,99.37427,2550.72803,719.90900,719.89044,176.46771,902.26825,1.00000,1.00000,135.00000,638.00000
35,3,406886,135628.66667,99.33740,863.52284,241.15471,240.76598,104.34597,302.17030,220.00000,2.66667,135.00000,213.66667
36,1,406800,406800.00000,99.31641,2586.22534,720.00403,719.37628,178.20227,902.26825,1.00000,1.00000,135.00000,638.00000
37,1,406795,406795.00000,99.31519,2584.22534,720.00623,719.36530,178.04546,902.26825,1.00000,1.00000,135.00000,638.00000
38,1,406731,406731.00000,99.29956,2591.98267,720.02991,719.22839,178.08977,902.26825,1.00000,1.00000,135.00000,638.00000
39,1,406785,406785.00000,99.31274,2593.15430,720.00830,719.34552,178.13316,902.26825,1.00000,1.00000,135.00000,638.00000
40,1,406954,406954.00000,99.35400,2556.52686,719.94354,719.70911,178.38020,902.26825,1.00000,1.00000,135.00000,638.00000
41,1,406968,406968.00000,99.35742,2554.04175,719.93817,719.73926,178.50793,902.26825,1.00000,1.00000,135.00000,638.00000
42,1,406934,406934.00000,99.34912,2554.04175,719.95270,719.66461,178.88686,902.26825,1.00000,1.00000,135.00000,638.00000
43,1,406989,406989.00000,99.36255,2556.38477,719.92944,719.78510,179.35939,902.26825,1.00000,1.00000,135.00000,638.00000
44,1,406997,406997.00000,99.36450,2552.38477,719.92603,719.80267,178.77644,902.26825,1.00000,1.00000,135.00000,638.00000
45,1,407018,407018.00000,99.36963,2551.55640,719.91711,719.84869,178.62682,902.26825,1.00000,1.00000,135.00000,638.00000
46,1,407030,407030.00000,99.37256,2550.72803,719.91199,719.87506,178.73921,902.26825,1.00000,1.00000,135.00000,638.00000
47,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
48,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
49,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
50,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
51,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
52,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
53,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
54,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
55,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
56,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
57,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
58,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
59,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
60,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
61,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
62,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
63,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
64,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
65,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
66,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
67,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
68,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
69,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
70,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
71,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
72,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
73,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
74,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
75,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
76,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
77,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
78,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
79,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
80,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
81,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
82,1,407036,407036.00000,99.37402,2552.14209,719.90942,719.88824,92.23026,902.26825,1.00000,1.00000,135.00000,638.00000
