Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,113,171086,1514.03540,41.76904,136.16044,30.54152,17.85107,85.15705,36.71709,367.48673,356.09735,89.08510,22.62554
2,113,186451,1650.00885,45.52026,143.61484,31.54663,18.03841,81.77787,37.15972,348.43363,340.84956,89.34594,22.76757
3,101,207681,2056.24752,50.70337,155.81106,32.66771,18.09920,85.88018,39.39108,343.04950,332.25743,94.51002,23.54562
4,87,225876,2596.27586,55.14551,178.66896,38.52386,20.02306,76.37600,46.50589,352.22989,337.00000,80.25330,26.48463
5,67,243572,3635.40299,59.46582,226.77764,37.26955,18.06378,73.88034,44.04527,349.32836,293.68657,92.13222,24.18845
6,56,260342,4648.96429,63.56006,235.04368,43.57829,20.54565,83.91377,50.48007,366.48214,314.62500,90.51893,27.59429
7,54,263183,4873.75926,64.25366,245.27279,47.40114,20.71521,81.50343,55.54554,359.74074,307.12963,93.90926,28.00091
8,40,277713,6942.82500,67.80103,320.20725,33.99101,24.30212,64.06501,43.13232,352.55000,304.57500,85.55860,27.28159
9,2,400925,200462.50000,97.88208,1625.20665,382.70462,368.20986,161.49960,483.44511,229.50000,1.00000,146.59930,335.50000
10,1,401970,401970.00000,98.13721,3225.25903,716.84753,713.96509,155.35909,902.26825,1.00000,1.00000,135.00000,638.00000
11,2,402953,201476.50000,98.37720,1566.81827,362.40859,358.37806,117.03413,454.66966,319.50000,218.00000,116.56505,319.50000
12,2,405444,202722.00000,98.98535,1406.82336,370.21970,360.39483,77.60691,462.14548,319.50000,216.00000,113.80128,321.00000
13,2,405848,202924.00000,99.08398,1398.70203,373.17708,362.48174,75.89957,464.86366,317.50000,228.00000,107.25426,323.00000
14,1,406105,406105.00000,99.14673,2766.19092,720.35541,717.79700,64.58800,902.26825,1.00000,1.00000,135.00000,638.00000
15,1,407036,407036.00000,99.37402,2554.14209,719.91046,719.88721,72.23007,902.26825,1.00000,1.00000,135.00000,638.00000
16,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
17,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
18,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
19,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
20,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
21,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
22,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
23,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
24,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
25,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
26,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
27,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
28,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
29,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
30,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
31,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
32,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
33,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
34,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
35,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
36,1,406974,406974.00000,99.35889,2562.87012,719.93469,719.75330,178.71288,902.26825,1.00000,1.00000,135.00000,638.00000
37,1,406899,406899.00000,99.34058,2562.76953,719.96564,719.58978,178.29181,902.26825,1.00000,1.00000,135.00000,638.00000
38,1,406862,406862.00000,99.33154,2567.84058,719.98004,719.50995,178.47006,902.26825,1.00000,1.00000,135.00000,638.00000
39,1,406863,406863.00000,99.33179,2567.25488,719.97974,719.51196,178.61514,902.26825,1.00000,1.00000,135.00000,638.00000
40,1,406777,406777.00000,99.31079,2590.32593,720.01080,719.32886,178.09261,902.26825,1.00000,1.00000,135.00000,638.00000
41,1,406844,406844.00000,99.32715,2561.01221,719.98877,719.46942,179.01981,902.26825,1.00000,1.00000,135.00000,638.00000
42,1,406802,406802.00000,99.31689,2558.18384,720.00641,719.37750,178.93405,902.26825,1.00000,1.00000,135.00000,638.00000
43,1,406692,406692.00000,99.29004,2587.39697,720.04388,719.14551,178.10356,902.26825,1.00000,1.00000,135.00000,638.00000
44,1,406793,406793.00000,99.31470,2556.52686,720.00977,719.35822,178.76096,902.26825,1.00000,1.00000,135.00000,638.00000
45,1,406787,406787.00000,99.31323,2561.11279,720.01111,719.34625,178.91696,902.26825,1.00000,1.00000,135.00000,638.00000
46,1,406819,406819.00000,99.32104,2566.18384,719.99750,719.41644,178.96284,902.26825,1.00000,1.00000,135.00000,638.00000
47,1,406777,406777.00000,99.31079,2586.08325,720.01233,719.32733,179.64037,902.26825,1.00000,1.00000,135.00000,638.00000
48,1,406642,406642.00000,99.27783,2597.29639,720.06415,719.03687,0.93466,902.26825,1.00000,1.00000,135.00000,638.00000
49,1,406527,406527.00000,99.24976,2625.29639,720.10529,718.79242,1.92050,902.26825,1.00000,1.00000,135.00000,638.00000
50,1,406828,406828.00000,99.32324,2605.49756,719.99200,719.43787,6.11669,902.26825,1.00000,1.00000,135.00000,638.00000
51,1,406448,406448.00000,99.23047,2666.50977,720.13434,718.62378,4.10873,902.26825,1.00000,1.00000,135.00000,638.00000
52,2,406409,203204.50000,99.22095,1324.84060,365.34981,361.52403,91.92639,456.72429,147.00000,1.00000,152.34758,321.50000
53,1,406718,406718.00000,99.29639,2591.01221,720.03571,719.19971,6.94714,902.26825,1.00000,1.00000,135.00000,638.00000
54,2,406336,203168.00000,99.20312,1321.30507,367.98803,360.60226,90.24601,458.78265,155.50000,1.00000,151.84503,320.50000
55,1,406395,406395.00000,99.21753,2639.19604,720.15747,718.50696,4.11989,902.26825,1.00000,1.00000,135.00000,638.00000
56,1,406704,406704.00000,99.29297,2598.91162,720.03900,719.17163,1.34019,902.26825,1.00000,1.00000,135.00000,638.00000
57,1,406741,406741.00000,99.30200,2619.15430,720.00720,719.26886,1.10641,902.26825,1.00000,1.00000,135.00000,638.00000
58,1,406737,406737.00000,99.30103,2630.56860,719.98657,719.28235,0.60775,902.26825,1.00000,1.00000,135.00000,638.00000
59,2,406722,203361.00000,99.29736,1304.16291,367.44656,361.33689,0.76052,459.64882,153.50000,1.00000,155.81677,321.00000
60,2,406699,203349.50000,99.29175,1298.21317,367.13758,361.21420,0.32702,458.20519,154.00000,2.00000,71.56505,320.50000
61,2,406739,203369.50000,99.30151,1293.62736,364.39441,361.21208,0.52861,455.74390,157.00000,2.00000,73.76440,320.50000
62,1,406889,406889.00000,99.33813,2580.52686,719.96918,719.56854,1.98471,902.26825,1.00000,1.00000,135.00000,638.00000
63,1,406919,406919.00000,99.34546,2565.35522,719.95831,719.63245,2.47739,902.26825,1.00000,1.00000,135.00000,638.00000
64,2,406810,203405.00000,99.31885,1294.99140,364.69391,361.77378,85.40399,456.65681,158.00000,1.00000,154.90279,321.50000
65,1,406948,406948.00000,99.35254,2570.52686,719.94617,719.69586,2.13245,902.26825,1.00000,1.00000,135.00000,638.00000
66,1,406991,406991.00000,99.36304,2571.01221,719.92822,719.78986,2.02554,902.26825,1.00000,1.00000,135.00000,638.00000
67,1,407017,407017.00000,99.36938,2556.97046,719.91742,719.84662,178.20845,902.26825,1.00000,1.00000,135.00000,638.00000
68,1,407016,407016.00000,99.36914,2556.04175,719.91791,719.84436,179.67282,902.26825,1.00000,1.00000,135.00000,638.00000
69,1,407018,407018.00000,99.36963,2554.38477,719.91705,719.84882,2.36187,902.26825,1.00000,1.00000,135.00000,638.00000
70,1,406981,406981.00000,99.36060,2569.45581,719.87042,719.83002,172.90123,902.26825,1.00000,1.00000,135.00000,638.00000
71,1,406963,406963.00000,99.35620,2575.01221,719.86194,719.80658,174.12740,902.26825,1.00000,1.00000,135.00000,638.00000
72,69,204877,2969.23188,50.01880,153.78208,27.51188,18.39652,86.56082,34.96906,297.24638,281.55072,91.38589,22.31285
73,70,204325,2918.92857,49.88403,154.41040,27.36732,18.47035,85.69505,34.72683,282.84286,289.15714,93.09404,22.19202
74,79,197721,2502.79747,48.27173,139.00714,30.14319,17.59357,87.08173,38.09204,297.34177,294.02532,93.50633,23.93206
75,79,195024,2468.65823,47.61328,140.33544,33.48240,18.03367,82.02411,40.35450,314.98734,309.50633,86.45229,23.87262
76,75,191875,2558.33333,46.84448,147.26023,35.40463,18.33425,78.07528,42.39384,310.80000,315.90667,90.53467,24.23973
77,78,187283,2401.06410,45.72339,140.52825,34.83534,18.24035,89.41108,41.49624,317.35897,311.10256,88.01954,23.75128
78,79,187309,2371.00000,45.72974,138.58395,34.78599,18.17016,92.61255,41.53100,310.92405,292.72152,91.43286,23.67053
79,71,184437,2597.70423,45.02856,151.94235,38.53772,20.00704,90.31504,46.26736,299.64789,292.08451,87.35205,26.23656
80,78,180357,2312.26923,44.03247,138.38942,35.88638,18.75963,83.25008,42.74013,299.07692,298.66667,90.54171,24.35504
81,80,176509,2206.36250,43.09302,137.37016,35.18780,19.40663,88.00184,43.31651,293.46250,295.27500,94.34286,24.71694
82,84,176545,2101.72619,43.10181,131.45573,33.45715,19.23497,85.03815,41.43452,302.22619,306.80952,89.75670,24.74323
