Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,111,181929,1639.00000,44.41626,145.51616,31.51223,17.59966,82.00271,37.83073,364.77477,359.28829,95.36095,22.43701
2,113,186451,1650.00885,45.52026,143.61484,31.54663,18.03841,81.77787,37.15972,348.43363,340.84956,89.34594,22.76757
3,114,195191,1712.20175,47.65405,136.30556,29.35863,15.98205,77.29107,35.36228,338.39474,340.14912,93.09417,20.42509
4,104,199231,1915.68269,48.64038,148.91476,32.56772,17.14947,75.30520,38.82750,334.46154,340.57692,80.99624,21.93596
5,105,202001,1923.81905,49.31665,150.58135,34.21586,17.48279,83.13851,40.68039,342.12381,342.90476,88.80233,22.13433
6,109,190857,1750.98165,46.59595,148.37122,31.75715,16.80767,81.15316,38.22121,346.85321,331.73394,91.67539,21.42356
7,110,198169,1801.53636,48.38110,143.01306,32.67494,17.24500,75.35641,39.55366,365.68182,338.25455,87.45606,22.42180
8,99,201993,2040.33333,49.31470,158.77627,35.69389,18.99902,76.76980,43.40543,361.72727,328.87879,84.43693,24.94660
9,95,206040,2168.84211,50.30273,163.70904,33.48488,18.14775,77.23168,41.99686,358.57895,334.20000,86.73298,25.53269
10,93,199320,2143.22581,48.66211,164.87749,34.72806,17.97096,78.14936,43.92962,387.51613,296.72043,89.72739,25.20592
11,87,204387,2349.27586,49.89917,170.50818,36.27522,19.02501,71.75231,46.01573,380.63218,309.45977,88.85155,26.65746
12,86,207777,2416.01163,50.72681,170.46069,36.76911,19.28593,83.81977,45.97727,365.02326,306.17442,85.13835,26.40813
13,84,211725,2520.53571,51.69067,174.35789,37.70953,18.58025,79.74705,46.89610,377.13095,308.85714,87.57956,26.13916
14,83,215535,2596.80723,52.62085,176.73634,39.64794,19.47539,79.70244,49.35815,368.20482,321.74699,88.38030,27.05271
15,82,208796,2546.29268,50.97559,179.33436,40.22264,19.56988,85.58907,49.56244,356.25610,315.74390,83.22674,26.76710
16,76,217362,2860.02632,53.06689,182.39441,39.37184,19.71916,89.24401,49.53513,363.48684,314.94737,93.34487,27.20842
17,61,220172,3609.37705,53.75293,227.03780,44.40649,22.44515,88.21082,56.43121,362.62295,331.09836,101.47839,31.34110
18,63,225443,3578.46032,55.03979,216.81972,40.80606,22.18457,83.79668,52.56200,353.42857,289.52381,96.92345,30.90525
19,68,220803,3247.10294,53.90698,198.04816,34.63524,19.57969,81.46892,45.26676,339.85294,291.88235,91.87409,27.55585
20,62,225400,3635.48387,55.02930,211.69613,31.09818,19.94785,83.69270,39.85082,338.77419,283.09677,94.89241,24.49671
21,2,403596,201798.00000,98.53418,1475.49246,361.26191,356.73024,74.27437,451.84123,252.00000,3.50000,135.00000,319.50000
22,1,406680,406680.00000,99.28711,2596.99487,719.94360,719.22449,145.25099,902.26825,1.00000,1.00000,135.00000,638.00000
23,1,406782,406782.00000,99.31201,2582.95337,719.85168,719.49670,127.02811,902.26825,1.00000,1.00000,135.00000,638.00000
24,1,406670,406670.00000,99.28467,2607.23755,719.75439,719.39587,117.77952,902.26825,1.00000,1.00000,135.00000,638.00000
25,1,406184,406184.00000,99.16602,2755.84766,719.93103,718.35986,113.75581,902.26825,1.00000,1.00000,135.00000,638.00000
26,1,406340,406340.00000,99.20410,2730.29150,719.79633,718.77026,103.34085,902.26825,1.00000,1.00000,135.00000,638.00000
27,1,406583,406583.00000,99.26343,2661.96558,719.63153,719.36475,69.92169,902.26825,1.00000,1.00000,135.00000,638.00000
28,2,405990,202995.00000,99.11865,1398.65176,360.31315,359.78776,45.96354,451.84123,311.50000,107.00000,135.00000,319.50000
29,1,406623,406623.00000,99.27319,2615.33813,720.03784,719.02954,95.62706,902.26825,1.00000,1.00000,135.00000,638.00000
