Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,111,103624,933.54955,25.29883,110.02604,30.78052,17.49270,84.27420,35.30321,320.17117,311.18919,89.31210,20.94273
2,106,109071,1028.97170,26.62866,115.33974,31.78009,18.40811,85.32077,36.65974,306.23585,313.49057,89.29999,21.91661
3,102,113493,1112.67647,27.70825,120.36282,31.38545,18.96484,84.03141,36.75522,304.95098,312.40196,86.07142,22.80866
4,89,108413,1218.12360,26.46802,130.89274,34.08154,19.64641,80.43424,39.76427,310.11236,321.15730,83.78295,23.58583
5,102,112132,1099.33333,27.37598,117.80340,31.91012,18.33092,77.10046,36.77306,317.81373,337.44118,85.82660,21.59166
6,91,116892,1284.52747,28.53809,135.94598,32.71676,18.57073,88.21854,37.94862,332.70330,349.90110,91.19453,22.54119
7,85,132013,1553.09412,32.22974,132.09434,32.86441,19.46124,89.34335,38.50455,320.51765,333.49412,94.08340,23.20951
8,91,128190,1408.68132,31.29639,139.10685,34.08448,18.57738,92.77951,40.75067,320.09890,338.70330,95.73827,23.11181
9,94,132135,1405.69149,32.25952,136.92631,33.60360,18.49337,90.22865,40.18948,316.89362,322.06383,99.28297,22.76562
10,91,145562,1599.58242,35.53760,132.10031,33.93923,18.99489,91.29855,40.68808,338.13187,313.61538,97.34109,23.27763
11,90,149378,1659.75556,36.46924,134.96837,34.97799,19.31749,87.69490,41.87206,349.61111,322.10000,95.87498,23.87279
12,80,153721,1921.51250,37.52954,153.74777,39.24468,20.41454,87.96361,46.51359,343.51250,320.76250,90.30082,25.22894
13,80,159271,1990.88750,38.88452,153.58763,38.47141,18.62916,85.80151,44.99643,361.28750,319.35000,85.87659,24.18852
14,71,173668,2446.02817,42.39941,178.10909,39.86753,20.53911,81.83376,49.50421,363.38028,308.05634,86.34793,27.97277
15,66,178788,2708.90909,43.64941,189.51145,42.64812,21.43235,74.08606,52.46317,367.09091,302.31818,81.00582,29.38021
16,65,193473,2976.50769,47.23462,196.74692,45.66075,22.48740,84.17898,56.41982,366.98462,329.30769,85.61876,30.75093
17,48,207805,4329.27083,50.73364,270.40284,56.19431,28.60695,98.01946,72.21461,362.93750,306.62500,100.13799,39.90849
18,47,221196,4706.29787,54.00293,271.50644,51.51337,28.38736,87.80958,66.75918,347.02128,302.95745,94.45121,39.69724
19,1,406713,406713.00000,99.29517,2586.95337,719.93915,719.28729,126.76604,902.26825,1.00000,1.00000,135.00000,638.00000
20,1,406976,406976.00000,99.35938,2555.69849,719.95483,719.73676,151.89589,902.26825,1.00000,1.00000,135.00000,638.00000
21,1,407021,407021.00000,99.37036,2552.38477,719.92493,719.84625,151.34627,902.26825,1.00000,1.00000,135.00000,638.00000
22,1,407025,407025.00000,99.37134,2550.72803,719.92157,719.85663,151.42046,902.26825,1.00000,1.00000,135.00000,638.00000
23,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
24,1,407042,407042.00000,99.37549,2550.48535,719.90680,719.90149,84.61909,902.26825,1.00000,1.00000,135.00000,638.00000
25,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
26,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
27,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
28,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
29,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
30,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
31,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
32,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
33,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
34,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
35,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
36,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
37,1,407041,407041.00000,99.37524,2549.89941,719.90723,719.89929,179.19054,902.26825,1.00000,1.00000,135.00000,638.00000
38,1,407033,407033.00000,99.37329,2551.55640,719.91071,719.88165,178.42139,902.26825,1.00000,1.00000,135.00000,638.00000
39,1,406998,406998.00000,99.36475,2554.87012,719.92542,719.80505,178.59258,902.26825,1.00000,1.00000,135.00000,638.00000
40,1,406971,406971.00000,99.35815,2556.28418,719.93671,719.74603,178.42360,902.26825,1.00000,1.00000,135.00000,638.00000
41,1,406967,406967.00000,99.35718,2554.04175,719.93860,719.73706,178.52374,902.26825,1.00000,1.00000,135.00000,638.00000
42,1,406954,406954.00000,99.35400,2553.21313,719.94440,719.70825,178.94719,902.26825,1.00000,1.00000,135.00000,638.00000
43,1,406953,406953.00000,99.35376,2553.21313,719.94470,719.70618,179.06259,902.26825,1.00000,1.00000,135.00000,638.00000
44,1,406938,406938.00000,99.35010,2554.04175,719.95074,719.67365,178.83455,902.26825,1.00000,1.00000,135.00000,638.00000
45,1,406959,406959.00000,99.35522,2554.04175,719.94189,719.71960,178.68130,902.26825,1.00000,1.00000,135.00000,638.00000
46,1,406973,406973.00000,99.35864,2554.62744,719.93591,719.75037,178.73911,902.26825,1.00000,1.00000,135.00000,638.00000
47,1,407035,407035.00000,99.37378,2552.72803,719.90979,719.88611,178.62755,902.26825,1.00000,1.00000,135.00000,638.00000
48,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
49,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
50,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
51,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
52,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
53,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
54,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
55,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
56,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
57,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
58,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
59,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
60,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
61,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
62,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
63,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
64,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
65,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
66,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
67,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
68,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
69,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
70,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
71,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
72,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
73,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
74,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
75,1,407044,407044.00000,99.37598,2549.65674,719.90588,719.90588,0.00000,902.26825,1.00000,1.00000,135.00000,638.00000
