Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
445,179,9584,53.54190,2.33984,23.80809,8.74000,5.56452,62.38305,9.46993,285.29609,277.11732,87.05547,6.06186
446,178,9591,53.88202,2.34155,24.12660,8.80168,5.61966,66.36145,9.55551,278.54494,281.00562,94.34152,6.09764
447,174,9406,54.05747,2.29639,24.53960,9.03546,5.69380,67.04999,9.77311,280.29885,280.30460,93.09919,6.22182
448,177,8988,50.77966,2.19434,23.26932,8.69562,5.47755,62.00100,9.34491,288.22034,274.54237,90.60088,5.93288
449,181,8748,48.33149,2.13574,22.46968,8.40544,5.25300,60.83735,9.01686,303.49171,275.96685,86.18109,5.71990
450,179,8173,45.65922,1.99536,21.52134,8.06569,5.10065,60.43355,8.67225,305.22346,276.61453,86.41754,5.52497
451,170,8437,49.62941,2.05981,23.29304,8.69052,5.29041,58.59618,9.35258,306.07059,294.95882,78.35081,5.81435
452,169,8174,48.36686,1.99561,23.09733,8.69605,5.19049,60.59248,9.36391,309.91124,296.33728,87.53766,5.62562
453,158,7779,49.23418,1.89917,23.37611,8.75574,5.23982,59.62419,9.44703,311.77215,294.63924,86.29880,5.75654
454,163,8134,49.90184,1.98584,23.79994,9.03130,5.16599,66.27893,9.72224,328.31902,291.41104,84.53381,5.67318
455,172,8640,50.23256,2.10938,24.00107,9.05259,5.22539,64.50424,9.75340,307.72093,290.19767,85.62205,5.74979
456,183,8744,47.78142,2.13477,23.30301,8.80509,5.21726,66.04547,9.46408,302.79781,288.28415,89.66688,5.66047
457,177,8645,48.84181,2.11060,23.68877,8.94707,5.25711,66.10533,9.61439,302.35593,268.12429,89.51779,5.71387
458,171,8196,47.92982,2.00098,23.50946,8.91523,5.24812,68.62004,9.56753,292.56725,283.58480,84.16519,5.69459
459,194,8401,43.30412,2.05103,21.81521,8.30855,4.96158,64.84100,8.91398,293.28351,285.05670,86.12972,5.36152
460,179,8580,47.93296,2.09473,23.76891,9.03406,5.36459,65.28195,9.65692,294.74302,293.96089,87.05479,5.81124
461,177,8825,49.85876,2.15454,24.12902,9.13899,5.37705,60.13974,9.80125,284.27119,294.60452,82.61808,5.87485
462,194,8863,45.68557,2.16382,22.98998,8.79308,5.09426,66.03149,9.43351,304.59278,299.64948,86.52341,5.54785
463,198,8189,41.35859,1.99927,21.52521,8.15023,4.85921,62.90833,8.82570,302.47980,293.32323,88.82865,5.29003
464,198,8049,40.65152,1.96509,21.45103,8.08620,4.83835,64.86008,8.72674,306.63131,297.38889,88.49852,5.25361
465,201,8137,40.48259,1.98657,21.44919,8.06579,4.89303,69.21023,8.72884,322.58209,287.85572,84.69081,5.29236
466,199,8022,40.31156,1.95850,21.19564,8.04034,4.77207,69.12931,8.67607,307.60302,278.98492,89.36606,5.19454
467,185,7883,42.61081,1.92456,21.97132,8.27615,4.99296,65.42413,8.91594,304.62703,285.16216,92.07378,5.42755
468,193,7999,41.44560,1.95288,21.61371,8.13774,4.91601,60.42158,8.77472,317.45078,286.55959,93.09666,5.37011
469,190,8393,44.17368,2.04907,22.26439,8.24111,5.16238,67.61768,8.94748,304.47368,289.24211,90.33354,5.63535
470,191,8607,45.06283,2.10132,22.25538,8.34098,5.12859,67.24860,8.99514,297.66492,285.15707,87.24492,5.56826
471,179,8609,48.09497,2.10181,23.06622,8.60876,5.26925,71.30763,9.28366,305.88268,286.57542,92.13249,5.76528
472,166,8494,51.16867,2.07373,23.97042,8.94074,5.56246,68.09604,9.62852,296.56627,289.40361,93.75635,6.06691
473,183,9214,50.34973,2.24951,23.96794,8.93291,5.46085,62.94002,9.64536,304.27869,315.55191,87.11690,6.01306
474,186,9511,51.13441,2.32202,24.09577,9.04846,5.41588,65.72289,9.73478,291.91935,327.56989,87.79813,5.92331
475,179,9358,52.27933,2.28467,24.47431,9.16280,5.45750,64.00543,9.86246,292.39665,321.17318,93.40433,5.97999
476,184,9330,50.70652,2.27783,23.98921,8.84625,5.33824,63.32162,9.55887,283.53804,320.89130,89.67510,5.86828
477,193,9186,47.59585,2.24268,22.88290,8.42558,5.25601,62.71935,9.13543,309.91192,307.63212,91.63729,5.73434
478,201,8920,44.37811,2.17773,21.61493,7.95167,5.13647,60.73046,8.66528,315.48259,308.21891,93.78460,5.61506
479,204,8866,43.46078,2.16455,21.57871,7.97439,5.14095,60.35243,8.70341,312.52451,304.52451,86.88689,5.54144
