Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
2,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
3,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
4,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
5,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
6,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
7,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
8,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
9,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
10,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
11,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
12,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
13,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
14,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
15,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
16,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
17,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
18,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
19,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
20,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
21,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
22,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
23,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
24,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
25,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
26,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
27,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
28,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
29,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
30,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
31,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
32,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
33,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
34,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
35,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
36,1,407044,407044,99.37598,2549.65674,719.90588,719.90588,0,902.26825,1,1,135,638
