Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
5,0170,2,32820,7.78905,1e-15,6894.76,7.360548891e-09,1.06969e-15
5,0170,3,34964,8.26716,1e-15,6894.76,9.657491473e-09,1.4035e-15
5,0170,4,34540,9.01603,1e-15,6894.76,1.196075756e-08,1.73823e-15
5,0171,1,31710,7.3738,1e-15,6894.76,7.080206453e-09,1.02895e-15
5,0171,2,32948,7.7483,1e-15,6894.76,7.366541582e-09,1.07056e-15
5,0171,3,34808,8.47745,1e-15,6894.76,9.806650079e-09,1.42518e-15
5,0171,4,34428,8.56708,1e-15,6894.76,1.223658463e-08,1.77832e-15
5,0172,1,31802,7.41602,1e-15,6894.76,7.087885013e-09,1.03007e-15
5,0172,2,32818,8.15098,1e-15,6894.76,7.368450936e-09,1.07084e-15
5,0172,3,35116,8.53983,1e-15,6894.76,9.527794992e-09,1.38465e-15
5,0172,4,34494,8.38228,1e-15,6894.76,1.251728107e-08,1.81911e-15
5,0173,1,31718,7.49503,1e-15,6894.76,7.081142359e-09,1.02909e-15
5,0173,2,32922,8.38779,1e-15,6894.76,7.380559469e-09,1.0726e-15
5,0173,4,34480,8.76139,1e-15,6894.76,1.250623374e-08,1.8175e-15
5,0174,1,31838,7.91613,1e-15,6894.76,7.077645817e-09,1.02858e-15
5,0174,2,32922,7.83561,1e-15,6894.76,7.390244081e-09,1.07401e-15
5,0174,3,34842,8.59027,1e-15,6894.76,9.577469741e-09,1.39187e-15
5,0175,1,31712,7.83438,1e-15,6894.76,7.087844129e-09,1.03006e-15
5,0175,2,32846,7.96018,1e-15,6894.76,7.380257337e-09,1.07256e-15
5,0175,3,34626,8.27999,1e-15,6894.76,9.514262647e-09,1.38269e-15
5,0175,4,34438,7.92642,1e-15,6894.76,1.267412934e-08,1.8419e-15
5,0176,1,31888,7.45635,1e-15,6894.76,7.10027205e-09,1.03187e-15
5,0176,2,32940,8.02875,1e-15,6894.76,7.39338224e-09,1.07446e-15
5,0176,3,34676,8.56124,1e-15,6894.76,9.551378082e-09,1.38808e-15
5,0176,4,34468,9.27414,1e-15,6894.76,1.246975358e-08,1.8122e-15
5,0177,1,31744,7.60901,1e-15,6894.76,7.113274308e-09,1.03376e-15
5,0177,3,34692,8.35445,1e-15,6894.76,9.61082361e-09,1.39672e-15
5,0177,4,34328,8.11072,1e-15,6894.76,1.1826672e-08,1.71874e-15
5,0178,1,31802,8.07514,1e-15,6894.76,7.117767912e-09,1.03441e-15
5,0178,3,34592,9.14003,1e-15,6894.76,9.496047626e-09,1.38004e-15
5,0178,4,34256,8.37762,1e-15,6894.76,1.16995868e-08,1.70027e-15
5,0179,1,31960,7.96482,1e-15,6894.76,7.111880956e-09,1.03355e-15
5,0179,2,32928,7.73343,1e-15,6894.76,7.388936089e-09,1.07382e-15
5,0179,3,34794,8.52514,1e-15,6894.76,9.480534532e-09,1.37778e-15
5,0179,4,34266,8.70437,1e-15,6894.76,1.211257824e-08,1.76029e-15
5,0180,1,31872,7.67033,1e-15,6894.76,7.113901023e-09,1.03385e-15
5,0180,2,32864,7.73422,1e-15,6894.76,7.39716084e-09,1.07501e-15
5,0180,4,34412,8.43214,1e-15,6894.76,1.206321213e-08,1.75312e-15
5,0181,1,31838,7.68553,1e-15,6894.76,7.109591807e-09,1.03322e-15
5,0181,2,32822,7.6716,1e-15,6894.76,7.408068018e-09,1.0766e-15
5,0181,3,34616,8.46614,1e-15,6894.76,9.406060164e-09,1.36696e-15
5,0182,1,31844,7.58348,1e-15,6894.76,7.112092844e-09,1.03358e-15
5,0182,3,34680,9.17411,1e-15,6894.76,9.356125601e-09,1.3597e-15
