Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
5,0150,1,34866,8.5516,1e-15,6894.76,9.103991147e-09,1.32306e-15
5,0150,2,32432,8.049,1e-15,6894.76,7.321838734e-09,1.06407e-15
5,0150,3,34182,8.3268,1e-15,6894.76,8.842867882e-09,1.28511e-15
5,0150,4,34370,8.57291,1e-15,6894.76,1.604505621e-08,2.33179e-15
5,0151,1,34896,8.43448,1e-15,6894.76,9.264822534e-09,1.34644e-15
5,0151,2,32484,7.81409,1e-15,6894.76,7.363857863e-09,1.07017e-15
5,0151,3,34118,8.00497,1e-15,6894.76,8.91367731e-09,1.2954e-15
5,0151,4,34412,8.42392,1e-15,6894.76,1.630882153e-08,2.37012e-15
5,0152,1,34548,8.82517,1e-15,6894.76,8.790455305e-09,1.2775e-15
5,0152,2,32564,8.02077,1e-15,6894.76,7.382230356e-09,1.07284e-15
5,0152,3,34248,8.62426,1e-15,6894.76,9.020801243e-09,1.31097e-15
5,0152,4,34684,8.93583,1e-15,6894.76,1.841619552e-08,2.67638e-15
5,0153,1,34304,8.52818,1e-15,6894.76,8.66247661e-09,1.2589e-15
5,0153,2,32554,8.22477,1e-15,6894.76,7.411671855e-09,1.07712e-15
5,0153,3,34180,8.27257,1e-15,6894.76,9.317684339e-09,1.35412e-15
5,0153,4,34780,8.23631,1e-15,6894.76,1.780449495e-08,2.58749e-15
5,0154,1,33982,8.24951,1e-15,6894.76,8.336238087e-09,1.21149e-15
5,0154,2,32416,8.06153,1e-15,6894.76,7.439490179e-09,1.08116e-15
5,0154,3,34396,8.34695,1e-15,6894.76,9.410103882e-09,1.36755e-15
5,0154,4,34438,8.98597,1e-15,6894.76,1.768325752e-08,2.56987e-15
5,0155,1,33572,8.13579,1e-15,6894.76,8.028343595e-09,1.16674e-15
5,0155,2,32496,8.30366,1e-15,6894.76,7.442881449e-09,1.08166e-15
5,0155,3,34458,9.05263,1e-15,6894.76,9.372098916e-09,1.36203e-15
5,0155,4,34438,8.41754,1e-15,6894.76,2.079327055e-08,3.02184e-15
5,0156,1,33308,8.16202,1e-15,6894.76,7.838853956e-09,1.1392e-15
5,0156,2,32546,8.19796,1e-15,6894.76,7.472331673e-09,1.08594e-15
5,0156,3,34536,8.81077,1e-15,6894.76,9.444382782e-09,1.37253e-15
5,0156,4,34648,8.95691,1e-15,6894.76,1.779505535e-08,2.58612e-15
5,0157,1,32908,8.27536,1e-15,6894.76,7.663029339e-09,1.11365e-15
5,0157,2,32650,8.1062,1e-15,6894.76,7.486914283e-09,1.08806e-15
5,0157,3,32650,0,0,0,0,0
5,0157,4,32650,0,0,0,0,0
5,0158,1,32632,8.29474,1e-15,6894.76,7.578667409e-09,1.10139e-15
5,0158,2,32606,8.29471,1e-15,6894.76,7.521217864e-09,1.09304e-15
5,0158,3,34492,8.47072,1e-15,6894.76,1.042034487e-08,1.51437e-15
5,0158,4,34446,9.17899,1e-15,6894.76,1.914602854e-08,2.78245e-15
5,0159,1,32514,7.92101,1e-15,6894.76,7.543938429e-09,1.09634e-15
5,0159,2,32728,8.03107,1e-15,6894.76,7.554833125e-09,1.09793e-15
5,0159,3,34676,9.46514,1e-15,6894.76,1.007092568e-08,1.46359e-15
5,0159,4,34446,8.49932,1e-15,6894.76,1.843120531e-08,2.67857e-15
5,0160,1,34446,0,0,0,0,0
5,0160,2,32764,8.114,1e-15,6894.76,7.56702519e-09,1.0997e-15
5,0160,3,34682,8.60875,1e-15,6894.76,1.019467533e-08,1.48157e-15
5,0160,4,34574,8.84644,1e-15,6894.76,1.959054408e-08,2.84705e-15
5,0161,1,32154,8.2666,1e-15,6894.76,7.367366101e-09,1.07068e-15
5,0161,2,32768,8.03577,1e-15,6894.76,7.533290796e-09,1.0948e-15
5,0161,3,34796,8.92665,1e-15,6894.76,1.029861447e-08,1.49667e-15
5,0161,4,34386,8.52872,1e-15,6894.76,1.718742255e-08,2.49781e-15
5,0162,1,32106,7.88716,1e-15,6894.76,7.33431285e-09,1.06588e-15
5,0162,2,32792,8.23354,1e-15,6894.76,7.536873524e-09,1.09532e-15
5,0162,3,34718,9.36495,1e-15,6894.76,1.026254212e-08,1.49143e-15
5,0162,4,34714,9.12981,1e-15,6894.76,1.680508954e-08,2.44225e-15
5,0163,1,31908,7.90359,1e-15,6894.76,7.260735081e-09,1.05519e-15
5,0163,2,32662,8.30774,1e-15,6894.76,7.513866528e-09,1.09197e-15
5,0163,3,34722,8.78913,1e-15,6894.76,1.080571474e-08,1.57037e-15
5,0163,4,34466,8.07028,1e-15,6894.76,1.793096694e-08,2.60587e-15
