Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
8,0150,1,32308,8.15846,1e-15,6894.76,9.356154963e-09,1.35971e-15
8,0150,2,32970,8.22423,1e-15,6894.76,1.033928031e-08,1.50258e-15
8,0150,3,33228,7.95121,1e-15,6894.76,1.165605105e-07,1.69395e-14
8,0150,4,33228,0,0,0,0,0
8,0151,1,32144,7.68691,1e-15,6894.76,9.27908314e-09,1.34851e-15
8,0151,2,32788,7.89193,1e-15,6894.76,1.031322143e-08,1.4988e-15
8,0151,3,33440,8.03788,1e-15,6894.76,1.159349782e-07,1.68486e-14
8,0151,4,33004,8.72022,1e-15,6894.76,3.4401656e-07,4.99952e-14
8,0152,1,32174,7.64468,1e-15,6894.76,9.085479198e-09,1.32037e-15
8,0152,2,32838,7.54844,1e-15,6894.76,1.047386101e-08,1.52214e-15
8,0152,3,33208,8.82322,1e-15,6894.76,8.012282347e-08,1.16441e-14
8,0152,4,33072,8.14146,1e-15,6894.76,4.144528691e-07,6.02315e-14
8,0153,1,32294,7.41378,1e-15,6894.76,9.123198891e-09,1.32585e-15
8,0153,2,32294,0,0,0,0,0
8,0153,3,33198,8.15758,1e-15,6894.76,6.155614756e-08,8.94582e-15
8,0153,4,33128,7.94952,1e-15,6894.76,2.089333238e-07,3.03638e-14
8,0154,1,32214,8.27003,1e-15,6894.76,8.989688843e-09,1.30645e-15
8,0154,2,32784,7.90793,1e-15,6894.76,1.053547311e-08,1.5311e-15
8,0154,3,33190,7.85524,1e-15,6894.76,5.853513415e-08,8.50678e-15
8,0154,4,33276,8.60161,1e-15,6894.76,2.444293225e-07,3.55224e-14
8,0155,1,32144,7.34007,1e-15,6894.76,9.000407606e-09,1.30801e-15
8,0155,2,32722,7.30006,1e-15,6894.76,1.055600416e-08,1.53408e-15
8,0155,3,33394,7.86905,1e-15,6894.76,5.631932617e-08,8.18476e-15
8,0155,4,33354,8.30896,1e-15,6894.76,1.004265102e-07,1.45948e-14
8,0156,1,32088,7.45712,1e-15,6894.76,8.956523126e-09,1.30163e-15
8,0156,2,32840,8.2032,1e-15,6894.76,1.044285363e-08,1.51764e-15
8,0156,3,33488,8.42667,1e-15,6894.76,5.607589418e-08,8.14938e-15
8,0156,4,32996,8.27402,1e-15,6894.76,9.603148864e-08,1.3956e-14
8,0157,1,32106,7.91438,1e-15,6894.76,8.848729124e-09,1.28597e-15
8,0157,2,32748,7.6901,1e-15,6894.76,1.043810129e-08,1.51695e-15
8,0157,3,33136,7.69342,1e-15,6894.76,5.596070702e-08,8.13264e-15
8,0157,4,33162,7.9937,1e-15,6894.76,9.431437826e-08,1.37065e-14
8,0158,1,31966,7.50751,1e-15,6894.76,8.645191901e-09,1.25639e-15
8,0158,2,32634,8.34183,1e-15,6894.76,1.031890615e-08,1.49962e-15
8,0158,3,33064,7.35484,1e-15,6894.76,5.581041781e-08,8.1108e-15
8,0158,4,33248,7.62346,1e-15,6894.76,2.349912925e-07,3.41508e-14
8,0159,1,31986,7.95341,1e-15,6894.76,8.537038895e-09,1.24067e-15
8,0159,2,32710,7.84167,1e-15,6894.76,1.051024118e-08,1.52743e-15
8,0159,3,33264,7.73084,1e-15,6894.76,5.619701077e-08,8.16699e-15
8,0159,4,33054,8.44135,1e-15,6894.76,2.252842305e-07,3.27401e-14
8,0160,1,32066,8.02965,1e-15,6894.76,8.813578323e-09,1.28086e-15
8,0160,2,32066,0,0,0,0,0
8,0160,3,33266,8.25987,1e-15,6894.76,1.229602824e-07,1.78695e-14
8,0160,4,33346,8.02041,1e-15,6894.76,2.267141717e-07,3.29479e-14
8,0161,1,31946,7.60354,1e-15,6894.76,8.625064786e-09,1.25346e-15
8,0161,2,32766,7.86246,1e-15,6894.76,1.022799217e-08,1.48641e-15
8,0161,3,33140,7.74281,1e-15,6894.76,1.272242808e-07,1.84892e-14
8,0161,4,33082,8.57002,1e-15,6894.76,2.36726173e-07,3.44029e-14
8,0162,1,31930,8.08267,1e-15,6894.76,8.56840943e-09,1.24523e-15
8,0162,2,32768,8.15315,1e-15,6894.76,1.021340006e-08,1.48429e-15
8,0162,3,32768,0,0,0,0,0
8,0162,4,33210,8.30777,1e-15,6894.76,1.787114933e-07,2.59717e-14
8,0163,1,31944,7.60167,1e-15,6894.76,8.455032178e-09,1.22875e-15
8,0163,2,32864,7.55837,1e-15,6894.76,1.028643339e-08,1.4949e-15
8,0163,3,33196,8.03267,1e-15,6894.76,5.669539704e-08,8.23941e-15
8,0163,4,33330,7.89183,1e-15,6894.76,1.628548596e-07,2.36673e-14
8,0164,1,31866,8.67145,1e-15,6894.76,8.412386111e-09,1.22255e-15
8,0164,2,32748,7.94527,1e-15,6894.76,1.016689777e-08,1.47753e-15
8,0164,3,33178,8.04796,1e-15,6894.76,5.688450382e-08,8.2669e-15
8,0164,4,33214,7.87009,1e-15,6894.76,8.704413454e-08,1.26499e-14
8,0165,1,31958,7.46021,1e-15,6894.76,8.559324277e-09,1.24391e-15
8,0165,2,32772,8.02531,1e-15,6894.76,1.005149943e-08,1.46076e-15
8,0165,3,33160,8.35135,1e-15,6894.76,5.999616492e-08,8.71911e-15
8,0165,4,33096,7.81153,1e-15,6894.76,1.849474666e-07,2.6878e-14
8,0166,1,31870,7.66046,1e-15,6894.76,8.566725589e-09,1.24498e-15
8,0166,2,32686,7.37365,1e-15,6894.76,1.009812381e-08,1.46754e-15
8,0166,3,33278,8.68534,1e-15,6894.76,5.933098846e-08,8.62244e-15
8,0166,4,33166,8.48471,1e-15,6894.76,1.980412749e-07,2.87809e-14
8,0167,1,31962,8.18632,1e-15,6894.76,8.568124386e-09,1.24519e-15
8,0167,2,32902,8.37868,1e-15,6894.76,1.013632108e-08,1.47309e-15
8,0167,3,33276,8.10424,1e-15,6894.76,5.550526596e-08,8.06646e-15
8,0167,4,33092,7.83167,1e-15,6894.76,2.183927349e-07,3.17385e-14
8,0168,1,31794,8.03928,1e-15,6894.76,8.502844786e-09,1.2357e-15
8,0168,2,32742,7.82508,1e-15,6894.76,1.01524005e-08,1.47543e-15
