aux_Image_filename,Image_file,Id1,Id2,Sample,Threshold,Slice,%Area,K(m2),Keq(m2),Delta P(Pa),Count,Total Area,Average Size,Perimeter,Knorm,Direction
am5_c1_final-1112.tif,am5_c1_final-1112,am5_c1_s1112,1112,5,1,1112,3.42627,1.00E-15,1.05E-15,6894.76,268,14034,52.36567,24.67371,1.05451,X
am5_c1_final-1113.tif,am5_c1_final-1113,am5_c1_s1113,1113,5,1,1113,3.36182,1.00E-15,1.05E-15,6894.76,258,13770,53.37209,24.77599,1.05445,X
am5_c1_final-1114.tif,am5_c1_final-1114,am5_c1_s1114,1114,5,1,1114,3.47192,1.00E-15,1.06E-15,6894.76,272,14221,52.28309,24.50019,1.05738,X
am5_c1_final-1115.tif,am5_c1_final-1115,am5_c1_s1115,1115,5,1,1115,3.43823,1.00E-15,1.06E-15,6894.76,259,14083,54.37452,24.902,1.05616,X
am5_c1_final-1116.tif,am5_c1_final-1116,am5_c1_s1116,1116,5,1,1116,3.46606,1.00E-15,1.06E-15,6894.76,257,14197,55.24125,25.20939,1.0559,X
am5_c1_final-1117.tif,am5_c1_final-1117,am5_c1_s1117,1117,5,1,1117,3.3894,1.00E-15,1.05E-15,6894.76,273,13883,50.85348,23.89368,1.05289,X
am5_c1_final-1118.tif,am5_c1_final-1118,am5_c1_s1118,1118,5,1,1118,3.38696,1.00E-15,1.05E-15,6894.76,270,13873,51.38148,23.96626,1.05262,X
am5_c1_final-1119.tif,am5_c1_final-1119,am5_c1_s1119,1119,5,1,1119,3.45898,1.00E-15,1.05E-15,6894.76,281,14168,50.41993,23.55917,1.05192,X
am5_c1_final-1120.tif,am5_c1_final-1120,am5_c1_s1120,1120,5,1,1120,3.68237,1.00E-15,1.06E-15,6894.76,301,15083,50.10963,23.37591,1.0566,X
am5_c1_final-1121.tif,am5_c1_final-1121,am5_c1_s1121,1121,5,1,1121,3.74976,1.00E-15,1.06E-15,6894.76,301,15359,51.02658,23.78506,1.06081,X
am5_c1_final-1122.tif,am5_c1_final-1122,am5_c1_s1122,1122,5,1,1122,3.74097,1.00E-15,1.06E-15,6894.76,285,15323,53.76491,24.84134,1.06173,X
am5_c1_final-1123.tif,am5_c1_final-1123,am5_c1_s1123,1123,5,1,1123,3.78369,1.00E-15,1.06E-15,6894.76,285,15498,54.37895,24.93371,1.06045,X
am5_c1_final-1124.tif,am5_c1_final-1124,am5_c1_s1124,1124,5,1,1124,3.74023,1.00E-15,1.06E-15,6894.76,285,15320,53.75439,24.75061,1.06025,X
am5_c1_final-1125.tif,am5_c1_final-1125,am5_c1_s1125,1125,5,1,1125,3.73901,1.00E-15,1.06E-15,6894.76,273,15315,56.0989,25.74227,1.06163,X
am5_c1_final-1126.tif,am5_c1_final-1126,am5_c1_s1126,1126,5,1,1126,3.66138,1.00E-15,1.06E-15,6894.76,277,14997,54.14079,25.08748,1.06241,X
am5_c1_final-1127.tif,am5_c1_final-1127,am5_c1_s1127,1127,5,1,1127,3.49268,1.00E-15,1.06E-15,6894.76,262,14306,54.60305,25.1928,1.06095,X
am5_c1_final-1128.tif,am5_c1_final-1128,am5_c1_s1128,1128,5,1,1128,3.64771,1.00E-15,1.06E-15,6894.76,286,14941,52.24126,24.41692,1.06325,X
am5_c1_final-1129.tif,am5_c1_final-1129,am5_c1_s1129,1129,5,1,1129,3.64868,1.00E-15,1.06E-15,6894.76,288,14945,51.89236,24.2731,1.06341,X
am5_c1_final-1130.tif,am5_c1_final-1130,am5_c1_s1130,1130,5,1,1130,3.75317,1.00E-15,1.07E-15,6894.76,287,15373,53.56446,24.8039,1.06723,X
am5_c1_final-1131.tif,am5_c1_final-1131,am5_c1_s1131,1131,5,1,1131,3.88281,1.00E-15,1.07E-15,6894.76,270,15904,58.9037,26.0702,1.06953,X
am5_c1_final-1132.tif,am5_c1_final-1132,am5_c1_s1132,1132,5,1,1132,3.88818,1.00E-15,1.07E-15,6894.76,260,15926,61.25385,26.50979,1.06954,X
am5_c1_final-1133.tif,am5_c1_final-1133,am5_c1_s1133,1133,5,1,1133,3.96704,1.00E-15,1.07E-15,6894.76,277,16249,58.66065,25.52065,1.07244,X
am5_c1_final-1134.tif,am5_c1_final-1134,am5_c1_s1134,1134,5,1,1134,4.26392,1.00E-15,1.08E-15,6894.76,282,17465,61.93262,26.69612,1.07703,X
am5_c1_final-1135.tif,am5_c1_final-1135,am5_c1_s1135,1135,5,1,1135,4.20117,1.00E-15,1.08E-15,6894.76,273,17208,63.03297,26.97842,1.0758,X
am5_c1_final-1136.tif,am5_c1_final-1136,am5_c1_s1136,1136,5,1,1136,4.16089,1.00E-15,1.07E-15,6894.76,272,17043,62.65809,26.97578,1.07204,X
